表章項目,時間軸（月次）,市区町村 コード,市区町村,/国籍07,総数,中国,韓国,韓国・朝鮮,フィリピン,ブラジル,ベトナム,ペルー,ネパール,米国,台湾,その他
人数【人】,2016年6月,1397,留寿都村,,74,10,5,***,-,1,-,***,9,-,30,19
人数【人】,2016年6月,1398,喜茂別町,,21,2,1,***,1,-,2,***,-,2,11,2
人数【人】,2016年6月,1399,京極町,,22,13,-,***,8,-,-,***,-,1,-,-
人数【人】,2016年6月,1400,倶知安町,,612,23,11,***,2,3,2,***,17,16,12,526
人数【人】,2016年6月,1401,共和町,,10,4,1,***,1,-,2,***,1,1,-,-
人数【人】,2016年6月,1402,岩内町,,34,5,6,***,3,-,9,***,1,5,-,5
人数【人】,2016年6月,1403,泊村,,4,-,2,***,-,-,-,***,-,1,-,1
人数【人】,2016年6月,1404,神恵内村,,-,-,-,***,-,-,-,***,-,-,-,-
人数【人】,2016年6月,1405,積丹町,,3,-,1,***,-,-,-,***,1,-,-,1
人数【人】,2016年6月,1406,古平町,,47,25,-,***,-,-,19,***,-,-,-,3
人数【人】,2016年6月,1407,仁木町,,64,46,1,***,-,-,14,***,-,1,-,2
人数【人】,2016年6月,1408,余市町,,140,72,6,***,8,-,43,***,-,1,2,8
人数【人】,2016年6月,1409,赤井川村,,21,-,2,***,-,-,-,***,3,2,2,12
人数【人】,2016年6月,1423,南幌町,,41,26,5,***,1,-,6,***,-,3,-,-
人数【人】,2016年6月,1424,奈井江町,,10,-,7,***,2,-,-,***,-,1,-,-
人数【人】,2016年6月,1425,上砂川町,,9,6,1,***,-,-,-,***,-,2,-,-
人数【人】,2016年6月,1427,由仁町,,12,1,7,***,-,-,-,***,-,-,-,4
人数【人】,2016年6月,1428,長沼町,,20,3,2,***,5,-,-,***,4,1,-,5
人数【人】,2016年6月,1429,栗山町,,68,30,5,***,2,-,20,***,4,2,-,5
人数【人】,2016年6月,1430,月形町,,4,1,-,***,1,-,-,***,-,-,-,2
人数【人】,2016年6月,1431,浦臼町,,4,4,-,***,-,-,-,***,-,-,-,-
人数【人】,2016年6月,1432,新十津川町,,7,3,-,***,1,-,1,***,-,1,-,1
人数【人】,2016年6月,1433,妹背牛町,,13,-,1,***,-,-,12,***,-,-,-,-
人数【人】,2016年6月,1434,秩父別町,,1,-,-,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,1436,雨竜町,,11,1,-,***,-,-,-,***,-,1,-,9
人数【人】,2016年6月,1437,北竜町,,2,-,1,***,1,-,-,***,-,-,-,-
人数【人】,2016年6月,1438,沼田町,,1,-,1,***,-,-,-,***,-,-,-,-
人数【人】,2016年6月,1452,鷹栖町,,4,-,2,***,-,-,-,***,-,-,-,2
人数【人】,2016年6月,1453,東神楽町,,21,3,2,***,-,-,6,***,-,5,-,5
人数【人】,2016年6月,1454,当麻町,,8,2,-,***,-,-,3,***,-,-,-,3
人数【人】,2016年6月,1455,比布町,,2,-,1,***,-,-,-,***,-,-,-,1
人数【人】,2016年6月,1456,愛別町,,81,20,1,***,-,-,56,***,-,1,-,3
人数【人】,2016年6月,1457,上川町,,45,27,-,***,3,-,3,***,-,-,9,3
人数【人】,2016年6月,1458,東川町,,185,26,9,***,-,1,59,***,-,3,34,53
人数【人】,2016年6月,1459,美瑛町,,52,14,6,***,-,-,15,***,-,3,8,6
人数【人】,2016年6月,1460,上富良野町,,59,4,3,***,13,-,-,***,6,-,28,5
人数【人】,2016年6月,1461,中富良野町,,19,2,1,***,-,-,7,***,-,4,4,1
人数【人】,2016年6月,1462,南富良野町,,13,1,1,***,-,-,-,***,6,1,3,1
人数【人】,2016年6月,1463,占冠村,,112,11,21,***,-,-,-,***,27,2,48,3
人数【人】,2016年6月,1464,和寒町,,14,3,2,***,-,-,7,***,-,-,-,2
人数【人】,2016年6月,1465,剣淵町,,1,-,-,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,1468,下川町,,29,19,1,***,-,-,6,***,-,-,-,3
人数【人】,2016年6月,1469,美深町,,18,15,-,***,-,-,-,***,-,1,1,1
人数【人】,2016年6月,1470,音威子府村,,8,4,-,***,1,-,-,***,-,3,-,-
人数【人】,2016年6月,1471,中川町,,10,8,1,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,1472,幌加内町,,2,-,-,***,1,-,-,***,-,-,-,1
人数【人】,2016年6月,1481,増毛町,,50,35,-,***,1,-,13,***,-,1,-,-
人数【人】,2016年6月,1482,小平町,,21,15,1,***,-,-,2,***,-,1,-,2
人数【人】,2016年6月,1483,苫前町,,13,12,-,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,1484,羽幌町,,7,2,1,***,2,-,-,***,-,2,-,-
人数【人】,2016年6月,1485,初山別村,,-,-,-,***,-,-,-,***,-,-,-,-
人数【人】,2016年6月,1486,遠別町,,21,11,-,***,1,-,5,***,-,-,-,4
人数【人】,2016年6月,1487,天塩町,,27,10,1,***,-,-,3,***,-,9,3,1
人数【人】,2016年6月,1511,猿払村,,113,111,1,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,1512,浜頓別町,,108,103,1,***,1,-,-,***,-,2,-,1
人数【人】,2016年6月,1513,中頓別町,,1,-,-,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,1514,枝幸町,,144,107,1,***,1,-,13,***,-,1,-,21
人数【人】,2016年6月,1516,豊富町,,20,8,1,***,2,-,6,***,-,2,1,-
人数【人】,2016年6月,1517,礼文町,,23,19,-,***,-,-,3,***,-,1,-,-
人数【人】,2016年6月,1518,利尻町,,3,-,-,***,-,-,-,***,-,1,-,2
人数【人】,2016年6月,1519,利尻富士町,,16,8,1,***,-,3,-,***,-,-,4,-
人数【人】,2016年6月,1520,幌延町,,22,13,-,***,1,-,3,***,-,-,2,3
人数【人】,2016年6月,1543,美幌町,,51,24,1,***,9,-,3,***,2,9,-,3
人数【人】,2016年6月,1544,津別町,,13,6,-,***,3,-,-,***,-,1,-,3
人数【人】,2016年6月,1545,斜里町,,117,34,3,***,10,-,27,***,-,-,12,31
人数【人】,2016年6月,1546,清里町,,4,-,1,***,1,-,-,***,-,1,-,1
人数【人】,2016年6月,1547,小清水町,,16,7,-,***,2,-,5,***,-,1,-,1
人数【人】,2016年6月,1549,訓子府町,,25,9,-,***,8,-,4,***,-,2,-,2
人数【人】,2016年6月,1550,置戸町,,8,1,-,***,4,-,1,***,-,2,-,-
人数【人】,2016年6月,1552,佐呂間町,,142,86,1,***,8,-,12,***,-,1,1,33
人数【人】,2016年6月,1555,遠軽町,,59,23,6,***,12,1,4,***,-,2,1,10
人数【人】,2016年6月,1559,湧別町,,133,55,1,***,6,-,65,***,-,-,-,6
人数【人】,2016年6月,1560,滝上町,,8,1,-,***,1,1,2,***,-,1,-,2
人数【人】,2016年6月,1561,興部町,,70,52,2,***,-,-,6,***,-,-,1,9
人数【人】,2016年6月,1562,西興部村,,8,2,-,***,2,-,3,***,-,1,-,-
人数【人】,2016年6月,1563,雄武町,,186,154,2,***,2,-,17,***,-,1,-,10
人数【人】,2016年6月,1564,大空町,,13,5,1,***,1,-,-,***,-,-,-,6
人数【人】,2016年6月,1571,豊浦町,,29,4,8,***,1,-,-,***,-,2,2,12
人数【人】,2016年6月,1575,壮瞥町,,24,19,-,***,-,-,-,***,-,1,2,2
人数【人】,2016年6月,1578,白老町,,90,46,16,***,1,-,9,***,-,1,1,16
人数【人】,2016年6月,1581,厚真町,,23,1,2,***,1,6,10,***,-,1,1,1
人数【人】,2016年6月,1584,洞爺湖町,,90,31,4,***,2,1,24,***,-,3,12,13
人数【人】,2016年6月,1585,安平町,,44,18,3,***,4,-,-,***,-,1,1,17
人数【人】,2016年6月,1586,むかわ町,,115,82,4,***,1,-,16,***,-,1,1,10
人数【人】,2016年6月,1601,日高町,,146,35,11,***,46,-,10,***,16,1,-,27
人数【人】,2016年6月,1602,平取町,,123,110,3,***,-,2,2,***,-,1,2,3
人数【人】,2016年6月,1604,新冠町,,84,2,1,***,32,-,23,***,-,1,1,24
人数【人】,2016年6月,1607,浦河町,,96,6,7,***,31,-,-,***,-,4,-,48
人数【人】,2016年6月,1608,様似町,,16,3,3,***,5,-,-,***,-,2,-,3
人数【人】,2016年6月,1609,えりも町,,30,8,4,***,2,-,-,***,-,1,-,15
人数【人】,2016年6月,1610,新ひだか町,,86,11,31,***,10,-,-,***,5,1,-,28
人数【人】,2016年6月,1631,音更町,,87,19,15,***,4,2,9,***,-,-,8,30
人数【人】,2016年6月,1632,士幌町,,50,32,6,***,1,-,8,***,-,1,-,2
人数【人】,2016年6月,1633,上士幌町,,58,36,6,***,-,1,10,***,-,2,1,2
人数【人】,2016年6月,1634,鹿追町,,42,24,2,***,-,-,3,***,-,4,6,3
人数【人】,2016年6月,1635,新得町,,92,4,10,***,2,1,3,***,-,6,7,59
人数【人】,2016年6月,1636,清水町,,55,27,4,***,5,1,13,***,-,4,-,1
人数【人】,2016年6月,1637,芽室町,,42,8,14,***,2,-,10,***,-,2,3,3
人数【人】,2016年6月,1638,中札内村,,31,7,-,***,1,-,21,***,-,1,-,1
人数【人】,2016年6月,1639,更別村,,6,-,1,***,1,-,-,***,-,1,-,3
人数【人】,2016年6月,1641,大樹町,,52,9,2,***,14,-,26,***,-,1,-,-
人数【人】,2016年6月,1642,広尾町,,37,28,1,***,-,-,5,***,-,-,1,2
人数【人】,2016年6月,1643,幕別町,,61,32,5,***,4,-,8,***,-,5,-,7
人数【人】,2016年6月,1644,池田町,,12,1,-,***,4,-,2,***,-,1,-,4
人数【人】,2016年6月,1645,豊頃町,,22,1,-,***,2,-,18,***,-,-,-,1
人数【人】,2016年6月,1646,本別町,,28,7,6,***,2,1,1,***,-,2,-,9
人数【人】,2016年6月,1647,足寄町,,17,8,3,***,1,-,3,***,-,-,-,2
人数【人】,2016年6月,1648,陸別町,,21,5,-,***,-,-,11,***,-,-,1,4
人数【人】,2016年6月,1649,浦幌町,,11,3,3,***,1,-,3,***,-,1,-,-
人数【人】,2016年6月,1661,釧路町,,28,7,6,***,1,-,11,***,-,-,-,3
人数【人】,2016年6月,1662,厚岸町,,99,27,1,***,24,-,38,***,-,2,-,7
人数【人】,2016年6月,1663,浜中町,,46,6,-,***,20,-,13,***,-,-,2,5
人数【人】,2016年6月,1664,標茶町,,75,5,8,***,1,-,56,***,3,1,-,1
人数【人】,2016年6月,1665,弟子屈町,,24,3,7,***,3,-,5,***,-,5,-,1
人数【人】,2016年6月,1667,鶴居村,,19,1,1,***,10,-,4,***,-,-,-,3
人数【人】,2016年6月,1668,白糠町,,38,1,5,***,28,1,-,***,-,2,-,1
人数【人】,2016年6月,1691,別海町,,230,54,12,***,87,-,69,***,-,1,-,7
人数【人】,2016年6月,1692,中標津町,,66,6,15,***,13,-,6,***,4,3,-,19
人数【人】,2016年6月,1693,標津町,,36,7,-,***,9,-,18,***,-,1,-,1
人数【人】,2016年6月,1694,羅臼町,,30,21,3,***,2,-,3,***,-,1,-,-
人数【人】,2016年6月,2201,青森市,,889,184,256,***,33,6,120,***,16,67,11,196
人数【人】,2016年6月,2202,弘前市,,663,241,110,***,57,5,80,***,10,39,15,106
人数【人】,2016年6月,2203,八戸市,,970,320,165,***,143,5,70,***,67,35,11,154
人数【人】,2016年6月,2204,黒石市,,87,40,10,***,8,-,11,***,4,6,-,8
人数【人】,2016年6月,2205,五所川原市,,88,20,23,***,15,1,12,***,-,6,2,9
人数【人】,2016年6月,2206,十和田市,,234,47,60,***,43,2,19,***,4,12,5,42
人数【人】,2016年6月,2207,三沢市,,386,53,32,***,57,-,113,***,2,82,3,44
人数【人】,2016年6月,2208,むつ市,,135,28,20,***,29,-,30,***,-,8,2,18
人数【人】,2016年6月,2209,つがる市,,56,9,5,***,6,-,12,***,-,6,-,18
人数【人】,2016年6月,2210,平川市,,41,20,3,***,4,-,3,***,1,4,-,6
人数【人】,2016年6月,2301,平内町,,28,13,6,***,4,-,3,***,-,-,-,2
人数【人】,2016年6月,2303,今別町,,3,-,2,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,2304,蓬田村,,2,-,-,***,-,-,-,***,-,2,-,-
人数【人】,2016年6月,2307,外ヶ浜町,,18,4,-,***,2,1,6,***,-,2,-,3
人数【人】,2016年6月,2321,鰺ヶ沢町,,16,2,3,***,2,-,-,***,-,2,1,6
人数【人】,2016年6月,2323,深浦町,,19,10,-,***,-,-,6,***,-,-,-,3
人数【人】,2016年6月,2343,西目屋村,,-,-,-,***,-,-,-,***,-,-,-,-
人数【人】,2016年6月,2361,藤崎町,,11,4,-,***,2,-,-,***,1,2,-,2
人数【人】,2016年6月,2362,大鰐町,,3,-,1,***,-,-,-,***,-,2,-,-
人数【人】,2016年6月,2367,田舎館村,,12,-,1,***,1,-,-,***,-,3,-,7
人数【人】,2016年6月,2381,板柳町,,25,6,6,***,4,-,3,***,-,2,1,3
人数【人】,2016年6月,2384,鶴田町,,13,6,-,***,2,-,-,***,-,3,-,2
人数【人】,2016年6月,2387,中泊町,,25,5,10,***,1,-,3,***,-,3,-,3
人数【人】,2016年6月,2401,野辺地町,,88,32,10,***,-,-,39,***,-,3,-,4
人数【人】,2016年6月,2402,七戸町,,40,15,3,***,8,-,3,***,-,2,1,8
