"統計名：","在留外国人統計（旧登録外国人統計） 在留外国人統計"
"表番号：","07"
"表題：","市区町村別　国籍・地域別　在留外国人"
"実施年月：","-","-"
"市区町村時点（年月日）：","2015年12月31日"

"***","数字が得られないもの"
"-","数字が得られないもの"

"","","","","","","","000","","105","","103","","901","","117","","410","","110","","407","","131","","304","","106","","960",""
"表章項目 コード","表章項目","時間軸（月次） コード","時間軸（月次）","市区町村 コード","市区町村","/国籍07","総数","注釈","中国","注釈","韓国","注釈","韓国・朝鮮","注釈","フィリピン","注釈","ブラジル","注釈","ベトナム","注釈","ペルー","注釈","ネパール","注釈","米国","注釈","台湾","注釈","その他","注釈"
"101","人数【人】","2016000606","2016年6月","01235","石狩市","","328","","158","","23","","***","","16","","2","","49","","***","","3","","4","","7","","66",""
"101","人数【人】","2016000606","2016年6月","01236","北斗市","","140","","75","","13","","***","","21","","-","","19","","***","","-","","2","","3","","7",""
"101","人数【人】","2016000606","2016年6月","01303","当別町","","51","","8","","9","","***","","7","","-","","6","","***","","2","","1","","-","","18",""
"101","人数【人】","2016000606","2016年6月","01304","新篠津村","","2","","1","","1","","***","","-","","-","","-","","***","","-","","-","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01331","松前町","","35","","6","","1","","***","","1","","-","","24","","***","","-","","2","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01332","福島町","","34","","11","","5","","***","","1","","-","","12","","***","","-","","1","","1","","3",""
"101","人数【人】","2016000606","2016年6月","01333","知内町","","6","","4","","-","","***","","1","","-","","-","","***","","-","","-","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01334","木古内町","","27","","-","","3","","***","","-","","-","","18","","***","","-","","2","","-","","4",""
"101","人数【人】","2016000606","2016年6月","01337","七飯町","","30","","4","","11","","***","","-","","-","","-","","***","","-","","3","","4","","8",""
"101","人数【人】","2016000606","2016年6月","01343","鹿部町","","56","","53","","-","","***","","-","","-","","1","","***","","-","","1","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01345","森町","","220","","175","","2","","***","","1","","-","","31","","***","","-","","4","","-","","7",""
